CompanyName,FirstAnnualRevenue
NATIONAL PUMP & ENERGY PTY LTD,225000000
AERIS RESOURCES LIMITED,550000000
EXCO RESOURCES PTY LIMITED,550000000
LION MINING LIMITED,550000000
ROUND OAK JAGUAR PTY LTD,550000000
ROUND OAK STOCKMAN PTY LTD,550000000
TRITTON RESOURCES PTY LTD,550000000
BYERWEN COAL PTY LTD,1000000001
Sandfire Resources Botswana Pty Ltd,950000000
SANDFIRE RESOURCES LIMITED,950000000
SANDFIRE SPAIN HOLDINGS PTY LTD,950000000
JAX COAL PTY LTD,750000000
NORTHERN HUB PTY LTD,750000000
QCOAL PTY LTD,750000000
PROTECH GROUP PTY LTD,550000000
DEVELOP GLOBAL LIMITED,175000000
AJ Lucas Group Limited,175000000
IGO FORRESTANIA LIMITED,750000000
IGO Limited,750000000
IGO NOVA PTY LTD,750000000
KINGSGATE CAPITAL PTY LTD,125000000
KINGSGATE CONSOLIDATED LIMITED,125000000
API VICTORIA PTY. LTD.,1000000001
AUSTRALIAN GOLD REAGENTS PTY. LTD.,1000000001
AUSTRALIAN PHARMACEUTICAL INDUSTRIES PTY LTD,1000000001
AUSTRALIAN PHARMACEUTICAL INDUSTRIES PTY. LTD.,1000000001
AVC HOLDINGS PTY LTD,1000000001
AVC TRADING PTY LTD,1000000001
BULLIVANTS PTY LIMITED,1000000001
BUNNINGS GROUP LIMITED,1000000001
CATCH.COM.AU PTY LTD,1000000001
CATCH GROUP HOLDINGS LIMITED,1000000001
CHEMICAL HOLDINGS KWINANA PTY. LTD.,1000000001
COREGAS PTY LTD,1000000001
CSBP LIMITED,1000000001
CUMING SMITH AND COMPANY LIMITED,1000000001
HOWARD SMITH LIMITED,1000000001
J. BLACKWOOD & SON PTY LTD,1000000001
KMART AUSTRALIA LIMITED,1000000001
KMART HOLDINGS PTY LTD,1000000001
MANACOL PTY LIMITED,1000000001
NEW PRICE RETAIL FINANCE PTY LTD,1000000001
NEW PRICE RETAIL PTY LTD,1000000001
OFFICEWORKS HOLDINGS PTY LTD,1000000001
OFFICEWORKS LTD,1000000001
Priceline Proprietary Limited as trustee for THE PRICELINE UNIT TRUST,1000000001
R.J. BEAUMONT & CO. PTY. LTD.,1000000001
Synapse Finance Pty Ltd,1000000001
TARGET AUSTRALIA PTY. LTD.,1000000001
TARGET HOLDINGS PTY LTD,1000000001
THE WORKWEAR GROUP HOLDING PTY LTD,1000000001
THE WORKWEAR GROUP PTY LTD,1000000001
UCONE PTY LTD,1000000001
WESFARMERS BUNNINGS LIMITED,1000000001
WESFARMERS CHEMICALS,1000000001
ENERGY & FERTILISERS LIMITED,1000000001
WESFARMERS DEPARTMENT STORES HOLDINGS PTY LTD,1000000001
WESFARMERS FERTILIZERS PTY LTD,1000000001
Wesfarmers Industrial and Safety Pty Ltd,1000000001
WESFARMERS KLEENHEAT GAS PTY LTD,1000000001
WESFARMERS LIMITED,1000000001
WESFARMERS ONLINE RETAIL HOLDINGS PTY LTD,1000000001
WESFARMERS RETAIL HOLDINGS PTY LTD,1000000001
WESFARMERS RETAIL PTY LTD,1000000001
WFM INVESTMENTS PTY LTD,1000000001
PILBARA MINERALS LIMITED,1000000001
IMDEX LTD,425000000
GR ENGINEERING SERVICES LTD,425000000
KOOLAN IRON ORE PTY LTD,650000000
MOUNT GIBSON IRON LIMITED,650000000
MOUNT GIBSON MINING LIMITED,650000000
HASTINGS DEERING LIMITED,1000000001
Sime Darby Industrial Australia Pty ltd,1000000001
FARRELLY CONSTRUCTION SERVICES PTY LTD,125000000
FENIX RESOURCES LTD,275000000
HORIZON OIL LIMITED,125000000
LUCAS TOTAL CONTRACT SOLUTIONS PTY LTD,225000000
AUSTRALASIAN SOLVENTS AND CHEMICALS COMPANY PTY. LTD.,325000000
WICET HOLDINGS PTY LIMITED,550000000
WICET SERVICES PTY. LTD.,550000000
WIGGINS ISLAND COAL EXPORT TERMINAL PTY LIMITED,550000000
COMISKEY MINING SERVICES PTY LTD,125000000
GOLD CORPORATION,1000000001
ERNEST HENRY MINING PTY LTD,1000000001
EVOLUTION MINING PTY LIMITED,1000000001
Evolution Mining Gold Operations Ltd,1000000001
EVOLUTION MINING LIMITED,1000000001
EVOLUTION MINING PTY LTD,1000000001
Mt Rawdon Operations Pty Ltd,1000000001
AURELIA METALS LIMITED,325000000
EQ RESOURCES LIMITED,50000000
LOCHARD ENERGY PTY LTD,175000000
DENDROBIUM COAL PTY LTD,1000000001
ENDEAVOUR COAL PTY LIMITED,1000000001
GROOTE EYLANDT MINING COMPANY PROPRIETARY LIMITED,1000000001
ILLAWARRA COAL HOLDINGS PTY LTD,1000000001
ILLAWARRA SERVICES PROPRIETARY LIMITED,1000000001
SOUTH32 ALUMINIUM PTY LTD,1000000001
SOUTH32 AUSTRALIA INVESTMENT 3 PTY LTD,1000000001
SOUTH32 PTY LTD,1000000001
SOUTH32 CANNINGTON PROPRIETARY LIMITED,1000000001
SOUTH32 GROUP OPERATIONS PTY LTD,1000000001
SOUTH32 INTERNATIONAL INVESTMENT HOLDINGS PROPRIETARY LIMITED,1000000001
SOUTH32 INTERNATIONAL INVESTMENT PROPRIETARY LIMITED,1000000001
SOUTH32 LIMITED,1000000001
SOUTH32 TREASURY LIMITED,1000000001
ONSITE RENTAL GROUP LIMITED,375000000
DETERRA ROYALTIES LIMITED,225000000
AMPLITUDE ENERGY LIMITED,225000000
AUSTRALIA PACIFIC LNG PTY LIMITED,1000000001
FQM AUSTRALIA HOLDINGS PTY LTD,475000000
FQM AUSTRALIA NICKEL PTY LTD,475000000
AMARI METALS AUSTRALIA PTY LTD,425000000
QUEENSLAND NITRATES PTY LTD,175000000
CQ FIELD MINING SERVICES PTY LTD,125000000
UNDERGROUND CONSTRUCTION ALLIANCE PTY LTD,125000000
MITSUI & CO. MINERAL RESOURCES DEVELOPMENT PTY LTD,1000000001
Byrnecut Australia Pty Ltd,950000000
ACTION DRILL & BLAST PTY LTD,1000000001
DIAB ENGINEERING PTY LTD,1000000001
GOLDING CONTRACTORS PTY LTD,1000000001
NRW CONTRACTING PTY LTD,1000000001
NRW HOLDINGS LIMITED,1000000001
PRIMERO GROUP LIMITED,1000000001
RCR MINING TECHNOLOGIES PTY LTD,1000000001
The Trustee for NRW UNIT TRUST,1000000001
WORLEY LIMITED,1000000001
MITTWELL ENERGY RESOURCES PTY. LTD.,375000000
HEP AUSTRALIA HOLDINGS PTY LTD,275000000
BISLEY & CO PTY LTD,125000000
CITIC AUSTRALIA COAL PTY LTD,425000000
CITIC AUSTRALIA COPPABELLA PTY LTD,425000000
CITIC AUSTRALIA PTY. LIMITED,425000000
CITIC RESOURCES AUSTRALIA PTY LTD,425000000
CRH TRADING PTY LTD,425000000
SOJITZ DEVELOPMENT PTY LTD,1000000001
SUMISHO COAL AUSTRALIA HOLDINGS PTY LTD,475000000
MITSUI IRON ORE CORPORATION PTY. LTD.,1000000001
MITSUI & CO. IRON ORE EXPLORATION & MINING PTY. LTD.,325000000
MITSUI-ITOCHU IRON PTY LTD,1000000001
RYOWA DEVELOPMENT II PTY. LIMITED,175000000
RYOWA DEVELOPMENT PTY. LTD.,175000000
NSC PTY LTD,475000000
JOY GLOBAL AUSTRALIA HOLDING COMPANY PTY LTD,475000000
JOY GLOBAL AUSTRALIA PTY LTD,475000000
KOMATSU AUSTRALIA CORPORATE FINANCE PTY LTD,1000000001
KOMATSU AUSTRALIA PTY LTD,1000000001
KOMATSU FORKLIFT AUSTRALIA PTY LTD,1000000001
ADANI MINING PTY LTD,1000000001
HITACHI ENERGY AUSTRALIA HOLDINGS PTY LTD,325000000
HITACHI ENERGY AUSTRALIA PTY LTD,325000000
BM ALLIANCE COAL OPERATIONS PTY LIMITED,550000000
ICRA MC PTY LTD,1000000001
ICRA OC PTY LTD,1000000001
IM IRON HOLDING PTY LTD,1000000001
ITOCHU AUSTRALIA LTD.,1000000001
ITOCHU IRON ORE AUSTRALIA PTY LTD,1000000001
ITOCHU MINERALS & ENERGY OF AUSTRALIA PTY LTD,1000000001
MARUBENI-ITOCHU TUBULARS OCEANIA PTY LTD,275000000
J.C.D. AUSTRALIA PTY.LTD.,225000000
MITSUBISHI DEVELOPMENT PTY LTD,1000000001
QCT RESOURCES PTY LIMITED,1000000001
The Trustee for QUEENSLAND COAL TRUST,1000000001
MITSUI RESOURCES PTY. LTD.,1000000001
RSGX HOLDINGS PTY LTD,125000000
CONTRACT RESOURCES GROUP PTY LTD,275000000
MITSUI IRON ORE DEVELOPMENT PTY LTD,1000000001
SUMITOMO AUSTRALIA PTY LTD,50000000
WALLIS DRILLING PTY LTD,125000000
WALLIS INDUSTRIES PTY. LTD.,125000000
IOR TERMINAL HOLDINGS PTY LTD,1000000001
SMRM HOLDINGS PTY LTD,1000000001
GENESIS MINERALS LIMITED,425000000
AVANCO RESOURCES PTY LTD,1000000001
BHP BILLITON FINANCE LIMITED,1000000001
BHP COAL PTY LTD,1000000001
BHP ENERGY COAL AUSTRALIA PTY LTD,1000000001
BHP GROUP LIMITED,1000000001
BHP IRON ORE PTY LTD,1000000001
BHP LONSDALE INVESTMENTS PTY LTD,1000000001
BHP METCOAL HOLDINGS PTY LTD,1000000001
BHP MINERALS HOLDINGS PROPRIETARY LIMITED,1000000001
BHP MINERALS PTY LTD,1000000001
BHP NICKEL WEST PTY LTD,1000000001
BHP OLYMPIC DAM CORPORATION PTY LTD,1000000001
BHP QUEENSLAND COAL INVESTMENTS PTY LTD,1000000001
BHP QUEENSLAND COAL LIMITED,1000000001
BHP TITANIUM MINERALS PTY LTD,1000000001
BHP PTY LTD,1000000001
CARRAPATEENA PTY LTD,1000000001
HUNTER VALLEY ENERGY COAL PTY LTD,1000000001
MINOTAUR RESOURCES HOLDINGS PTY LTD,1000000001
OZ MINERALS BRAZIL PTY LTD,1000000001
OZ Minerals Carrapateena Pty Ltd,1000000001
OZ MINERALS PROMINENT HILL OPERATIONS PTY LTD,1000000001
OZ MINERALS PROMINENT HILL PTY LTD,1000000001
OZ MINERALS PTY LTD,1000000001
THE BROKEN HILL PROPRIETARY COMPANY PTY LTD,1000000001
UMAL CONSOLIDATED PTY LTD,1000000001
NORTHERN STAR RESOURCES LTD,1000000001
MM RESOURCES PTY. LTD.,1000000001
NIPPON COKE & ENGINEERING COMPANY,1000000001
LIMITED,1000000001
CALBAH INDUSTRIES PTY. LTD.,50000000
BATCHFIRE RESOURCES PTY LTD,650000000
ORIGIN ENERGY LIMITED,1000000001
VOESTALPINE HIGH PERFORMANCE METALS PTY LTD,125000000
EPIROC AUSTRALIA PTY LTD,1000000001
ECOLAB PTY LTD,550000000
BASF AUSTRALIA LTD.,650000000
SIKA AUSTRALIA PTY LTD,375000000
PON HOLDING AUSTRALIA PTY LTD,125000000
AUSTRALIAN AGRIBUSINESS PTY LTD,175000000
MANDALAY RESOURCES AUSTRALIA PTY LIMITED,125000000
Element Solutions Inc,50000000
QUALITY LOGISTIC SERVICES AUSTRALIA PTY LTD,175000000
BU12 AUSTRALIA PTY. LTD.,50000000
BU13 AUSTRALIA PTY. LTD.,50000000
PRISM DARWIN PIPELINE PTY LTD,50000000
SK E&S AUSTRALIA PTY LTD,50000000
ENSIGN HOLDINGS PTY LTD,125000000
ENSIGN AUSTRALIA PTY LIMITED,125000000
Kogas Australia Pty Ltd,1000000001
KOGAS PRELUDE PTY LTD,1000000001
Kansai Electric Power Australia Pty Ltd,650000000
KANSAI ELECTRIC POWER HOLDINGS AUSTRALIA PTY LTD,650000000
KANSAI ELECTRIC POWER ICHTHYS E&P PTY LTD,650000000
KANSAI ELECTRIC POWER ICHTHYS PTY LTD,650000000
CHEVRON AUSTRALIA HOLDINGS PTY LTD,1000000001
CHEVRON AUSTRALIA PTY LTD,1000000001
KARORA PTY LTD,475000000
KARORA RESOURCES PTY LTD,475000000
Marmon Construction Services Holdings Pty Ltd,375000000
GOLD FIELDS AUSTRALIA PTY LIMITED,1000000001
NORMET ASIA PACIFIC PTY. LTD.,175000000
VEOLIA WATER TECHNOLOGIES & SOLUTIONS PROCESS AUSTRALIA PTY LTD,125000000
TOTALENERGIES EP ICHTHYS B.V.,1000000001
YANCOAL AUSTRALIA LTD,1000000001
MITSUI MATSUSHIMA AUSTRALIA PTY. LIMITED,375000000
Mitsui Matsushima International Pty. Limited,375000000
BARRICK AUSTRALIA PTY LIMITED,1000000001
WEIR GROUP PTY LIMITED,125000000
WEIR MINERALS AUSTRALIA LTD,125000000
CATERPILLAR UNDERGROUND MINING PTY LTD,1000000001
CATERPILLAR USED EQUIPMENT SERVICES INC.,1000000001
CORONADO CURRAGH PTY LTD,1000000001
CURRAGH QUEENSLAND MINING PTY LTD,1000000001
Ausenco do Brasil Engenharia Ltda,550000000
Ausenco Peru S.R.L,550000000
Ausenco Rylson Asset Optimisation Pty Ltd,550000000
DUET EDL PTY LIMITED,275000000
EDL HOLDINGS PTY LTD,275000000
ENERGY DEVELOPMENTS PTY LIMITED,275000000
AMPOL AUSTRALIA PETROLEUM PTY LTD,1000000001
AMPOL LIMITED,1000000001
AMPOL PETROLEUM DISTRIBUTORS PTY LTD,1000000001
AMPOL RETAIL PTY LTD,1000000001
MITSUI E&P AUSTRALIA HOLDINGS PTY LTD,950000000
Apergy Artificial Lift Pty Ltd,50000000
ChampionX Australia Pty Ltd,50000000
CONOCOPHILLIPS AUSTRALIA INVESTMENTS PTY LTD,1000000001
CONOCOPHILLIPS AUSTRALIA PACIFIC LNG PTY LTD,1000000001
SIERRA RUTILE HOLDINGS LIMITED,275000000
BP Australia Investments Pty Ltd,1000000001
CASTROL HOLDINGS AUSTRALIA PTY LTD,1000000001
SGS AUSTRALIA PTY LTD,275000000
SGS SCIENTIFIC SERVICES PTY LTD,275000000
SGS SYSTEMS AND SERVICES CERTIFICATION PTY LTD,275000000
DALRYMPLE BAY INFRASTRUCTURE LIMITED,650000000
ALLNEX AUSTRALIA HOLDING PTY LTD,325000000
ALLNEX AUSTRALIA PTY. LTD.,325000000
ALLNEX RESINS AUSTRALIA PTY LTD,325000000
29METALS LIMITED,425000000
CAPRICORN COPPER HOLDINGS PTY LTD,425000000
CAPRICORN COPPER PTY LTD,425000000
GOLDEN GROVE HOLDINGS PTY LTD,425000000
GOLDEN GROVE OPERATIONS PTY LTD,425000000
INPEX NEW ENERGY BUSINESS AUSTRALIA PTY LTD,1000000001
PE WHEATSTONE PTY LTD,850000000
Deswik Mining Consultants Pty Ltd,1000000001
DSI UNDERGROUND AUSTRALIA PTY LIMITED,1000000001
FERO GROUP PTY LTD,1000000001
Fero Group Pty Ltd,1000000001
Fero Reinforcing Pty Ltd,1000000001
NTX AUSTRALIA PTY LTD,1000000001
SANDVIK AUSTRALIA PTY LTD,1000000001
SANDVIK FINANCIAL SERVICES PTY LTD,1000000001
SANDVIK MINING AND CONSTRUCTION AUSTRALIA PTY LTD,1000000001
SANDVIK MINING & CONSTRUCTION LOGISTICS LIMITED,1000000001
SECO TOOLS AUSTRALIA PTY LIMITED,1000000001
TERELION PTY LTD,1000000001
TRICON DRILLING SOLUTIONS PTY LTD,1000000001
CAPRAL LIMITED,650000000
Peabody Australia Holdco Pty Ltd,1000000001
CENTAMIN EGYPT LIMITED,1000000001
PHARAOH GOLD MINES NL,1000000001
WURTH AUSTRALIA PTY LTD,175000000
JERVOIS GLOBAL LIMITED,225000000
NEWCREST OPERATIONS LIMITED,1000000001
Boart Longyear Group Ltd.,1000000001
BOART LONGYEAR PTY LIMITED,1000000001
Simcoa Operations Pty Ltd,175000000
GROWTH STEEL AUSTRALIA PTY LTD,125000000
MARNCO PTY LTD,125000000
SOUTHERN CROSS ALUMINIUM PTY LTD,225000000
SOUTHERN CROSS GPS PTY LTD,225000000
ANGLO AMERICAN AUSTRALIA LIMITED,1000000001
NS BOGGABRI PTY LIMITED,950000000
NS Moranbah North Pty Ltd,950000000
THERMO ELECTRON AUSTRALIA PTY LIMITED,650000000
MMG Limited,1000000001
LH HOLDINGS NO.2 PTY LTD,1000000001
AngloGold Ashanti plc,1000000001
CHANNAR MINING PTY LIMITED,1000000001
GPS POWER PTY. LIMITED,1000000001
MAGONTEC LIMITED,125000000
ADBRI CONCRETE AND QUARRIES SA PTY LTD,1000000001
ADBRI LIMITED,1000000001
ADBRI MASONRY GROUP PTY LTD,1000000001
ADBRI MASONRY PTY LTD,1000000001
ADELAIDE BRIGHTON CEMENT LIMITED,1000000001
COCKBURN CEMENT LIMITED,1000000001
HY-TEC INDUSTRIES PTY LTD,1000000001
PREMIER RESOURCES LIMITED,1000000001
SCREENINGS PROPRIETARY LIMITED,1000000001
SOUTHERN QUARRIES HOLDINGS PTY LTD,1000000001
H.B. FULLER COMPANY AUSTRALIA PTY LIMITED,125000000
The Trustee for The Radlink Unit Trust,175000000
Applied Australia,750000000
Consumer AU,750000000
Danley Construction Products,750000000
Databuild,750000000
Hobart Australia,750000000
Industrial AU,750000000
Instron,750000000
ITW AAMTECH,750000000
ITW Buildex,750000000
ITW Construction Asia Pacific,750000000
ITW Construction Systems,750000000
ITW Construction Systems International,750000000
ITW Corporate Australia,750000000
ITW Fastex,750000000
ITW Paslode,750000000
ITW Polymers & Fluids Australia,750000000
ITW Proline,750000000
ITW Residential,750000000
ITW Retail Group,750000000
ITW Zip-Pak Australia,750000000
Paslode,750000000
Pryda,750000000
Pryda Australia,750000000
Ramset,750000000
RamsetReid,750000000
Reid Construction Systems,750000000
Welding Industries of Australia,750000000
Wet AU,750000000
Zip-Pak,750000000
CNOOC Australia E & P Pty Ltd,375000000
CNOOC AUSTRALIA INTERNATIONAL HOLDINGS PRIVATE LIMITED,375000000
CNOOC NWS PRIVATE LIMITED,375000000
OX MOUNTAIN LIMITED,50000000
RSK ENVIRONMENT AUSTRALIA PTY LTD,225000000
Westgold Resources Limited,650000000
BLIGH COAL LIMITED,1000000001
Kyushu Electric Australia Pty Ltd,275000000
CLARKE ENERGY PTY. LTD.,125000000
UON PTY LTD,125000000
METALS X LIMITED,175000000
Heathgate Resources Pty Ltd,550000000
DYNO NOBEL MORANBAH PTY LTD,1000000001
DYNO NOBEL PTY LIMITED,1000000001
INCITEC FERTILISERS OPERATIONS PTY LTD,1000000001
INCITEC PIVOT EXPLOSIVES HOLDINGS PTY LIMITED,1000000001
INCITEC PIVOT FERTILISERS LIMITED,1000000001
INCITEC PIVOT INVESTMENTS 1 PTY LTD,1000000001
INCITEC PIVOT INVESTMENTS 2 PTY LTD,1000000001
INCITEC PIVOT LIMITED,1000000001
LINKFORCE ENGINEERING PTY LTD,750000000
LINKFORCE EQUIPMENT HIRE PTY LTD,750000000
LINKFORCE FIELD SERVICES PTY LTD,750000000
LINKFORCE INDUSTRIAL SERVICES PTY LTD,750000000
LINKFORCE MAINTENANCE SERVICES PTY LTD,750000000
LINKFORCE PROCUREMENT PTY LTD,750000000
Linkforce Projects Pty Ltd,750000000
LINKFORCE SHARED SERVICES PTY LTD,750000000
LINKFORCE SITE SERVICES PTY LTD,750000000
NIGHTHAWK NOMINEES PTY LTD,750000000
MIDDLEMOUNT COAL PTY LTD,750000000
SILVER LAKE PTY LTD,750000000
Silver Lake Resources Limited,750000000
FES COAL PTY LTD,175000000
OKR TECHNICAL SERVICES AUSTRALIA PTY LTD,175000000
One Key Holdings Pty Ltd,175000000
ONE KEY RESOURCES PTY LTD,175000000
Orbinox Pty Ltd,50000000
QMETCO LIMITED,650000000
Ampcontrol Limited,325000000
VERICO TRAINING SERVICES PTY LTD,325000000
OLIVER J. NILSEN LIMITED,375000000
ENERGY POWER SYSTEMS AUSTRALIA PTY. LIMITED.,275000000
Edna May Operations Pty Ltd,550000000
Vantage Fuels Pty Ltd,225000000
The Trustee for SFT trust,1000000001
NEPEAN BUILDING & INFRASTRUCTURE PTY LTD,750000000
CQMS RAZER PTY LTD,225000000
SIMS LIMITED,1000000001
PRL GLOBAL LTD,950000000
GERALDTON BULK HANDLING PTY LTD,475000000
VITRINITE PTY LTD,225000000
DGL MANUFACTURING AUSTRALIA PTY LTD,475000000
IGO LIMITED,1000000001
MACMAHON CONTRACTING INTERNATIONAL PTE LTD,1000000001
PT MACMAHON INDONESIA,1000000001
Newcastle Coal Infrastructure Group Pty Ltd,850000000
COOGEE CHEMICALS PTY LTD,325000000
PUMA ENERGY ASSETS HOLDINGS PTY LTD,50000000
PUMA ENERGY BITUMEN PTY LTD,50000000
ORICA AUSTRALIA PTY LTD,1000000001
ORICA INVESTMENTS PTY LTD,1000000001
ORICA LIMITED,1000000001
ORICA MINING SERVICES PILBARA PTY LTD,1000000001
African Mining Services Senegal Suarl,1000000001
AUMS Limited,1000000001
BISALLOY STEELS PTY. LTD.,125000000
NRW PTY LTD,1000000001
COOPER ENERGY LIMITED,175000000
ALLKEM LIMITED,1000000001
GALAXY RESOURCES LIMITED,1000000001
KINETIC CHEMICALS PTY LTD,750000000
KINETIC FLUID MANAGEMENT AND PRODUCTION SERVICES PTY LTD,750000000
KINETIC WELL INTERVENTION SERVICES PTY LTD,750000000
MPC GROUP PTY LTD,750000000
MPC KINETIC HOLDINGS LIMITED,750000000
RPMGLOBAL HOLDINGS LIMITED,50000000
CAREY GROUP HOLDINGS PTY LTD,125000000
The Trustee for THE PRICELINE UNIT TRUST,1000000001
WESFARMERS ENERGY LIMITED,1000000001
WESFARMERS LPG PTY LTD,1000000001
PRO-PAC GROUP PTY LIMITED,325000000
PRO-PAC PACKAGING LIMITED,325000000
GOLDCORP AUSTRALIA,1000000001
ABELLE LIMITED,425000000
AURORA GOLD AUSTRALIA PTY LIMITED,425000000
AURORA GOLD FINANCE LIMITED,425000000
AURORA GOLD LTD,425000000
AURORA GOLD PTY. LTD.,425000000
AURORA GOLD PTY LTD,425000000
AUSTRALIAN ORES & MINERALS PTY LIMITED,425000000
CARR BOYD MINERALS PTY LIMITED,425000000
EVA COPPER MINE PTY LTD,425000000
HARMONY EVA COPPER PTY LTD,425000000
HARMONY EVA COPPER SERVICES PTY LTD,425000000
HARMONY GOLD OPERATIONS LIMITED,425000000
HARMONY GOLD EXPLORATION LIMITED,425000000
HARMONY GOLD SECURITIES PTY LIMITED,425000000
HARMONY GOLD W.A. PTY LIMITED,425000000
HARMONY MINERALS PTY LTD,425000000
MOROBE CONSOLIDATED GOLDFIELDS LIMITED,425000000
MOROBE EXPLORATION LIMITED,425000000
NEW HAMPTON GOLDFIELDS LIMITED,425000000
ROSEBY COPPER PTY LTD,425000000
Roseby Copper Pty Ltd,425000000
WAFI MINING LIMITED,425000000
MINERAL RESOURCES LIMITED,1000000001
AUSTRALIA PACIFIC LNG CSG MARKETING PTY LIMITED,1000000001
Australia Pacific LNG Marketing Pty Limited,1000000001
AUSTRALIA PACIFIC LNG PROCESSING PTY LIMITED,1000000001
BARALABA COAL COMPANY PTY LTD,125000000
Redpath Holdings Pty Limited,325000000
HATCHCOS HOLDINGS PTY LTD,50000000
HATCH PTY LTD,50000000
SOUTH32 CHILE COPPER HOLDINGS PTY LTD,1000000001
SOUTH32 ROYALTY INVESTMENTS PTY LTD,1000000001
PERKAL PTY LTD,125000000
RDO EQUIPMENT PTY LTD,1000000001
COMMONWEALTH STEEL COMPANY PTY LIMITED,950000000
DONHAD PTY LTD,950000000
GRINDING MEDIA PTY LTD,950000000
MOLYCOP TECHNOLOGIES PTY LTD,950000000
RYOWA II GPS PTY. LIMITED,175000000
MITSUI & CO. LTD.,475000000
LIHIR GOLD LIMITED,1000000001
SCAP OAKY CREEK PTY LTD,850000000
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,1000000001
NORTHERN STAR PTY LTD,1000000001
NORTHERN STAR LIMITED,1000000001
LYCOPODIUM LIMITED,325000000
RED 5 LIMITED,475000000
THE TRUSTEE FOR CAY'S FAMILY TRUST,50000000
ABBOT POINT BULKCOAL PTY. LTD.,225000000
ABBOT POINT OPERATIONS PTY LTD,225000000
AMTRADE INTERNATIONAL PTY LTD,125000000
CATALYST CHEMICALS PTY LTD,50000000
QLSA Innovation Sdn Bhd,50000000
Quality Logistic Services Asia Pte Ltd,50000000
MGM BULK PTY LTD,125000000
IOR TERMINAL NOMINEES PTY LTD,50000000
EAST AFRICAN GOLD MINES LIMITED,1000000001
TETHYAN COPPER COMPANY LIMITED,1000000001
SUBSEA 7 AUSTRALIA CONTRACTING PTY LTD,225000000
MMA OFFSHORE LIMITED,650000000
MMA OFFSHORE VESSEL OPERATIONS PTY LTD,650000000
NT MINING OPERATIONS PTY LTD,1000000001
FLSMIDTH INDUSTRIAL SOLUTIONS PTY LTD,475000000
FLSMIDTH PTY LTD,475000000
TOKYO TIMOR SEA RESOURCES PTY LTD,175000000
CLARENCE COAL INVESTMENTS PTY. LIMITED,1000000001
Tronox Limited,1000000001
TRONOX MANAGEMENT PTY LTD,1000000001
TRONOX MINING AUSTRALIA LIMITED,1000000001
TRONOX PIGMENT BUNBURY LTD,1000000001
FMC,225000000
PERILYA LIMITED,425000000
M MINING PTY LTD,550000000
CAMERON APME HOLDING PTY LTD,950000000
SCHLUMBERGER AUSTRALIA PTY LTD,950000000
BILLABONG GOLD PTY LTD,175000000
ABELSHORE PTY LIMITED,1000000001
ANOTERO PTY LIMITED,1000000001
AZSA HOLDINGS PTY LIMITED,1000000001
CUMNOCK COAL PTY LIMITED,1000000001
CUMNOCK NO. 1 COLLIERY PTY LIMITED,1000000001
ENEX FOYDELL PTY LIMITED,1000000001
ENEX LIDDELL PTY LIMITED,1000000001
ENEX OAKBRIDGE PTY LIMITED,1000000001
ENEX ULAN PTY LIMITED,1000000001
GABUME PTY. LIMITED,1000000001
GILA PTY. LIMITED,1000000001
GLENCORE AUSTRALIA OIL PTY LIMITED,1000000001
GLENCORE COAL ASSETS QUEENSLAND PTY LIMITED,1000000001
GLENCORE COAL HOLDINGS PTY LIMITED,1000000001
GLENCORE COAL INVESTMENTS AUSTRALIA PTY LIMITED,1000000001
GLENCORE COAL PTY LIMITED,1000000001
GLENCORE COAL SALES PTY LIMITED,1000000001
GLENCORE HOLDINGS PTY LIMITED,1000000001
GLENCORE INVESTMENT PTY LIMITED,1000000001
GLENCORE OPERATIONS AUSTRALIA PTY LIMITED,1000000001
GLENCORE TECHNOLOGY PTY LIMITED,1000000001
GLENDELL MINING PTY LTD,1000000001
GS COAL HOLDINGS PTY LTD,1000000001
GS COAL PTY LTD,1000000001
HAIL CREEK COAL HOLDINGS PTY LIMITED,1000000001
Helios Australia Pty Limited,1000000001
HV COKING COAL PTY LIMITED,1000000001
HVO COAL SALES PTY LTD,1000000001
JONSHA PTY. LIMITED,1000000001
MANGOOLA COAL OPERATIONS PTY LIMITED,1000000001
MCARTHUR RIVER MINING PTY. LTD.,1000000001
MOUNT ISA MINES LIMITED,1000000001
MT OWEN PTY LIMITED,1000000001
MURRIN MURRIN OPERATIONS PTY LTD,1000000001
NC COAL COMPANY PTY LIMITED,1000000001
NICIAS INVESTMENTS PTY LTD,1000000001
NORANDA PACIFIC NO. 2 PTY LIMITED,1000000001
NORANDA PACIFIC PTY LIMITED,1000000001
OAKBRIDGE PTY LIMITED,1000000001
OAKY CREEK HOLDINGS PTY LIMITED,1000000001
OWLJURA PTY. LTD.,1000000001
ROLLESTON COAL HOLDINGS PTY LIMITED,1000000001
SAXONVALE COAL PTY. LIMITED,1000000001
THE NEWCASTLE WALLSEND COAL CO PTY LTD,1000000001
ULAN COAL MINES PTY LIMITED,1000000001
VISTAJURA PTY. LTD,1000000001
XT CO PTY LTD,1000000001
MAGOTTEAUX AUSTRALIA PTY LTD,125000000
ARROW CSG PTY LTD,1000000001
ARROW CSG HOLDCO PTY LTD,1000000001
ARROW PTY. LTD.,1000000001
ARROW ENERGY PTY LTD,1000000001
Arrow Surat Pty Ltd,1000000001
GENUITY PTY LTD,425000000
